Stream,Use,delta13C_P,delta15N_P,delta13C_T,delta15N_T,November,June,February
1,1,-34.422,4.747,-30.295,2.677,0,0,0
1,1,-34.532,5.284,-30.303,1.867,0,0,0
1,1,-34.156,4.877,-30.357,2.593,0,0,0
1,1,-34.37,4.79,-30.247,1.42,0,0,0
1,2,-27.507,2.607,-32.2,-0.482,1,0,0
1,2,-27.395,2.519,-32.068,-0.24,1,0,0
1,2,-27.466,2.68,-32.413,-0.594,1,0,0
1,2,-27.439,2.171,-32.375,-0.54,1,0,0
1,3,-28.439,5.157,-30.424,0.678,0,1,0
1,3,-29.73,7.502,-30.745,0.551,0,1,0
1,3,-28.607,5.032,-30.212,0.69,0,1,0
1,3,-28.125,5.284,-30.396,0.387,0,1,0
1,4,-27.085,3.32,-30.26,0.69,0,0,1
1,4,-27.168,3.98,-30.22,0.61,0,0,1
1,4,-27.183,NA,-30.03,0.48,0,0,1
